<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,Signal HA,Signal RSI,Signal SO,Signal Line Crossover,Centerline Crossover,Signal MACD
EURJPY,20010103,132000,108.86,108.86,108.83,108.84,4,1,0,-1,1,-1,0
EURJPY,20010103,132100,108.83,108.83,108.81,108.81,4,-1,0,0,1,-1,0
EURJPY,20010103,132200,108.82,108.83,108.81,108.83,4,0,0,0,1,-1,0
EURJPY,20010103,132300,108.84,108.85,108.84,108.85,4,1,0,0,1,-1,0
EURJPY,20010103,132400,108.83,108.84,108.81,108.82,4,0,0,-1,1,-1,0
EURJPY,20010103,132500,108.83,108.83,108.81,108.82,4,0,0,0,1,-1,0
EURJPY,20010103,132600,108.82,108.85,108.82,108.85,4,0,0,0,1,-1,0
EURJPY,20010103,132700,108.86,108.88,108.86,108.88,4,1,0,0,1,-1,0
EURJPY,20010103,132800,108.89,108.92,108.88,108.91,4,1,0,-1,1,1,0
EURJPY,20010103,132900,108.92,108.94,108.92,108.93,4,1,0,0,1,1,0
EURJPY,20010103,133000,108.93,108.93,108.89,108.89,4,0,0,0,1,1,0
EURJPY,20010103,133100,108.88,108.88,108.85,108.87,4,-1,0,0,1,1,0
EURJPY,20010103,133200,108.86,108.86,108.84,108.84,4,-1,0,0,1,1,0
EURJPY,20010103,133300,108.83,108.84,108.82,108.82,4,-1,0,0,1,1,0
EURJPY,20010103,133400,108.83,108.84,108.79,108.79,4,-1,0,0,-1,-1,-1
EURJPY,20010103,133500,108.8,108.8,108.77,108.8,4,-1,0,1,-1,-1,0
EURJPY,20010103,133600,108.81,108.82,108.79,108.81,4,0,0,0,-1,-1,0
EURJPY,20010103,133700,108.82,108.83,108.77,108.77,4,0,0,0,-1,-1,0
EURJPY,20010103,133800,108.76,108.78,108.72,108.73,4,-1,0,0,-1,-1,0
EURJPY,20010103,133900,108.74,108.74,108.71,108.71,4,-1,0,0,-1,-1,0
EURJPY,20010103,134000,108.72,108.73,108.71,108.71,4,-1,0,0,-1,-1,0
EURJPY,20010103,134100,108.7,108.7,108.66,108.66,4,-1,0,0,-1,-1,0
EURJPY,20010103,134200,108.65,108.68,108.65,108.68,4,-1,1,1,-1,-1,0
EURJPY,20010103,134300,108.68,108.68,108.65,108.65,4,-1,0,0,-1,-1,0
EURJPY,20010103,134400,108.64,108.65,108.62,108.62,4,-1,0,0,-1,-1,0
EURJPY,20010103,134500,108.63,108.63,108.6,108.6,4,-1,0,0,-1,-1,0
EURJPY,20010103,134600,108.59,108.62,108.59,108.61,4,-1,0,1,-1,-1,0
EURJPY,20010103,134700,108.61,108.63,108.61,108.63,4,0,1,0,-1,-1,0
EURJPY,20010103,134800,108.62,108.62,108.56,108.56,4,0,0,0,-1,-1,0
EURJPY,20010103,134900,108.57,108.57,108.55,108.56,4,-1,0,0,-1,-1,0
EURJPY,20010103,135000,108.57,108.59,108.57,108.58,4,0,1,1,-1,-1,0
EURJPY,20010103,135100,108.57,108.6,108.57,108.6,4,0,0,0,-1,-1,0
EURJPY,20010103,135200,108.59,108.63,108.59,108.63,4,1,0,0,-1,-1,0
EURJPY,20010103,135300,108.64,108.64,108.61,108.62,4,1,0,0,1,-1,1
EURJPY,20010103,135400,108.63,108.65,108.63,108.65,4,1,0,0,1,-1,0
EURJPY,20010103,135500,108.64,108.64,108.62,108.64,4,0,0,0,1,-1,0
EURJPY,20010103,135600,108.65,108.65,108.64,108.65,4,1,0,0,1,-1,0
EURJPY,20010103,135700,108.65,108.67,108.65,108.67,4,1,0,0,1,-1,0
EURJPY,20010103,135800,108.69,108.72,108.69,108.71,4,1,0,0,1,-1,0
EURJPY,20010103,135900,108.72,108.72,108.7,108.7,4,1,0,-1,1,-1,0
EURJPY,20010103,140000,108.7,108.72,108.7,108.72,4,1,0,0,1,-1,0
EURJPY,20010103,140100,108.71,108.71,108.69,108.69,4,0,0,-1,1,-1,0
EURJPY,20010103,140200,108.68,108.7,108.68,108.7,4,-1,0,0,1,-1,0
EURJPY,20010103,140300,108.69,108.71,108.69,108.71,4,0,0,0,1,-1,0
