<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,26 ema,12 ema,MACD,Signal Line,Signal Line Crossover,Centerline Crossover,Signal MACD
EURJPY,20010104,24400,105.82,105.82,105.81,105.81,4,105.81974444787586,105.81976865692468,2.4209048817169787e-05,0.00017657149628440988,-1,1,-1
EURJPY,20010104,24500,105.81,105.81,105.8,105.8,4,105.81828189618135,105.81672732509011,-0.0015545710912334698,-0.00016965702121916605,-1,-1,0
EURJPY,20010104,24600,105.79,105.81,105.79,105.81,4,105.81766842239013,105.81569235199933,-0.0019760703907962807,-0.000530939695134589,-1,-1,0
EURJPY,20010104,24700,105.81,105.81,105.81,105.81,4,105.81710039110196,105.8148166055379,-0.002283785564060281,-0.0008815088689197274,-1,-1,0
EURJPY,20010104,24800,105.81,105.81,105.81,105.81,4,105.81657443620551,105.8140755893013,-0.002498846904217089,-0.0012049764759791998,-1,-1,0
EURJPY,20010104,24900,105.82,105.84,105.82,105.84,4,105.81830966315326,105.81806396017801,-0.0002457029752491735,-0.0010131217758331946,1,-1,1
EURJPY,20010104,25000,105.85,105.85,105.85,105.85,4,105.82065709551227,105.8229771970737,0.002320101561423371,-0.00034647710838188147,1,1,0
EURJPY,20010104,25100,105.85,105.85,105.84,105.84,4,105.8220899032521,105.82559608983159,0.0035061865794858704,0.000424055629191669,1,1,0
EURJPY,20010104,25200,105.84,105.85,105.84,105.85,4,105.82415731782602,105.8293505375498,0.005193219723778952,0.0013778884481091256,1,1,0
EURJPY,20010104,25300,105.85,105.85,105.85,105.85,4,105.82607159057964,105.83252737792677,0.0064557873471216,0.0023934682279116203,1,1,0
EURJPY,20010104,25400,105.84,105.84,105.83,105.83,4,105.82636258387005,105.83213855055341,0.005775966683359002,0.0030699679190010964,1,1,0
EURJPY,20010104,25500,105.83,105.83,105.83,105.83,4,105.8266320221019,105.83180954277596,0.005177520674052971,0.0034914784700114717,1,1,0
EURJPY,20010104,25600,105.82,105.82,105.81,105.81,4,105.82540002046473,105.82845422850274,0.00305420803800871,0.0034040243836109194,-1,1,-1
EURJPY,20010104,25700,105.8,105.8,105.79,105.79,4,105.8227777967266,105.82253819334846,-0.0002396033781337792,0.00267529883126198,-1,-1,0
EURJPY,20010104,25800,105.79,105.8,105.78,105.79,4,105.82034981178388,105.8175323174487,-0.002817494335189963,0.0015767401979715915,-1,-1,0
EURJPY,20010104,25900,105.78,105.78,105.77,105.78,4,105.81736093683693,105.81175811476427,-0.005602822072660274,0.00014082774384521833,-1,-1,0
EURJPY,20010104,30000,105.78,105.78,105.78,105.78,4,105.8145934600342,105.80687225095438,-0.007721209079818436,-0.0014315796208875125,-1,-1,0
EURJPY,20010104,30100,105.78,105.78,105.78,105.78,4,105.81203098151316,105.80273805849986,-0.009292923013305199,-0.00300384829937105,-1,-1,0
EURJPY,20010104,30200,105.79,105.79,105.79,105.79,4,105.81039905695663,105.80077835719217,-0.009620699764454343,-0.004327218592387709,-1,-1,0
EURJPY,20010104,30300,105.79,105.79,105.79,105.79,4,105.80888801570057,105.79912014839337,-0.009767867307203915,-0.0054153483353509505,-1,-1,0
EURJPY,20010104,30400,105.79,105.79,105.79,105.79,4,105.80748890342646,105.79771704864055,-0.00977185478591025,-0.006286649625462811,-1,-1,0
EURJPY,20010104,30500,105.79,105.79,105.78,105.78,4,105.80545268835783,105.79499134884969,-0.0104613395081401,-0.007121587601998269,-1,-1,0
EURJPY,20010104,30600,105.78,105.78,105.78,105.78,4,105.80356730403503,105.7926849874882,-0.010882316546826587,-0.007873733390963934,-1,-1,0
EURJPY,20010104,30700,105.78,105.78,105.78,105.78,4,105.80182157781022,105.79073345095155,-0.01108812685866667,-0.008516612084504481,-1,-1,0
EURJPY,20010104,30800,105.78,105.78,105.74,105.74,4,105.79724220167613,105.7829283046513,-0.014313897024820221,-0.00967606907256763,-1,-1,0
EURJPY,20010104,30900,105.73,105.74,105.73,105.73,4,105.79226129784827,105.77478548855112,-0.017475809297152978,-0.0112360171174847,-1,-1,0
EURJPY,20010104,31000,105.73,105.73,105.73,105.73,4,105.7876493498595,105.7678954133894,-0.019753936470110034,-0.012939600988009767,-1,-1,0
EURJPY,20010104,31100,105.74,105.74,105.74,105.74,4,105.78411976838844,105.76360381132949,-0.020515957058947265,-0.014454872202197266,-1,-1,0
EURJPY,20010104,31200,105.74,105.75,105.74,105.75,4,105.78159237813743,105.7615109172788,-0.02008146085863416,-0.015580189933484645,-1,-1,0
EURJPY,20010104,31300,105.76,105.77,105.76,105.77,4,105.7807336834606,105.76281693000513,-0.017916753455466505,-0.016047502637881017,-1,-1,0
EURJPY,20010104,31400,105.77,105.77,105.77,105.77,4,105.77993859579685,105.76392201769664,-0.016016578100206402,-0.016041317730346095,1,-1,1
EURJPY,20010104,31500,105.76,105.76,105.76,105.76,4,105.77846166277487,105.7633186303587,-0.015143032416176538,-0.015861660667512184,1,-1,0
EURJPY,20010104,31600,105.76,105.78,105.76,105.78,4,105.77857561368045,105.76588499491889,-0.012690618761553196,-0.015227452286320386,1,-1,0
EURJPY,20010104,31700,105.78,105.79,105.78,105.79,4,105.77942186451894,105.7695949957006,-0.00982686881833672,-0.014147335592723654,1,-1,0
EURJPY,20010104,31800,105.79,105.79,105.79,105.79,4,105.78020543011013,105.77273422713128,-0.007471202978848623,-0.012812109069948648,1,-1,0
EURJPY,20010104,31900,105.79,105.79,105.79,105.79,4,105.78093095380568,105.7753904998803,-0.0055404539253771645,-0.011357778041034352,1,-1,0
EURJPY,20010104,32000,105.79,105.8,105.79,105.8,4,105.782343475746,105.77917657682178,-0.003166898924220618,-0.009719602217671605,1,-1,0
EURJPY,20010104,32100,105.8,105.8,105.8,105.8,4,105.78365136643149,105.78238018038766,-0.001271186043823036,-0.008029918982901892,1,-1,0
